Code,Name,Symbol,Emoji
SGD,Singapore Dollar,SGD,🇸🇬
SHP,Saint Helena Pound,SHP,🇸🇭
SLE,Sierra Leonean Leone,SLE,🇸🇱
SLL,Sierra Leonean Leone (old),SLL,🇸🇱
SOS,Somali Shilling,SOS,🇸🇴
SRD,Surinamese Dollar,SRD,🇸🇷
STD,São Tomé and Príncipe Dobra,STD,🇸🇹
SYP,Syrian Pound,SYP,🇸🇾
SZL,Swazi Lilangeni,SZL,🇸🇿
THB,Thai Baht,THB,🇹🇭
TJS,Tajikistani Somoni,TJS,🇹🇯
TMT,Turkmenistani Manat,TMT,🇹🇲
TND,Tunisian Dinar,TND,🇹🇳
TOP,Tongan Paʻanga,TOP,🇹🇴
TRY,Turkish Lira,TRY,🇹🇷
TTD,Trinidad and Tobago Dollar,TTD,🇹🇹
TWD,New Taiwan Dollar,TWD,🇹🇼
TZS,Tanzanian Shilling,TZS,🇹🇿
UAH,Ukrainian Hryvnia,UAH,🇺🇦
UGX,Ugandan Shilling,UGX,🇺🇬
USD,United States Dollar,USD,🇺🇸
UYU,Uruguayan Peso,UYU,🇺🇾
UZS,Uzbekistan Som,UZS,🇺🇿
VEF,Venezuelan Bolívar Fuerte,VEF,🇻🇪
VES,Venezuelan Bolívar Soberano,VES,🇻🇪
VND,Vietnamese Dong,VND,🇻🇳
VUV,Vanuatu Vatu,VUV,🇻🇺
WST,Samoan Tala,WST,🇼🇸
XAF,CFA Franc BEAC,XAF,🇨🇫
XAG,Silver (troy ounce),XAG,🪙
XAU,Gold (troy ounce),XAU,🧈
XCD,East Caribbean Dollar,XCD,🇧🇲
XDR,Special Drawing Rights,XDR,🏦
XOF,CFA Franc BCEAO,XOF,🇲🇱
XPF,CFP Franc,XPF,🇵🇫
YER,Yemeni Rial,YER,🇾🇪
ZAR,South African Rand,ZAR,🇿🇦
ZMK,Zambian Kwacha (old),ZMK,🇿🇲
ZMW,Zambian Kwacha,ZMW,🇿🇲
ZWL,Zimbabwean Dollar,ZWL,🇿🇼
